Y,coal,iron,gold,diamond,emerald,lapis,redstone,copper
-6,182,16169122,6844019,4704688,4214,6702782,4715701,8621780
-5,194,16910477,6691668,3411897,4484,6886222,4733564,9412979
-4,204,17646737,6524454,2099016,4853,7067254,4751154,10176332
-3,106602,18292951,6343633,1722238,5207,7205633,4750182,10909327
-2,483100,18852004,6129613,1623731,5455,7287065,4727513,11595502
-1,1124441,19348857,5891813,1513435,5574,7227914,4679372,12246606
0,1858230,19739117,5656250,1404359,6021,7022020,4611448,13640197
1,2619966,20492137,5490245,1320512,6377,6905064,4637409,14542070
2,3379456,21169939,5329554,1236213,6784,6778808,4642298,15355382
3,4126429,21837226,5151419,1147829,7025,6638936,4637002,16134395
4,4869935,22475598,4969125,1057873,7555,6488537,4642326,16909252
5,5608541,23106977,4790709,963432,7624,6330542,4630372,17627995
6,6336637,23710709,4592566,867704,7866,6160938,4619223,18285950
7,7052240,24288075,4391532,772468,8290,5997959,4611428,18900119
8,7764117,24765171,4185011,678890,8624,5812910,4574511,19433066
9,8580347,25667237,4044074,592439,8797,5719367,4616613,20426087
10,9387967,26451346,3890312,505118,9195,5604364,4638013,21280049
11,10175018,27180610,3718575,416499,9550,5470935,4643207,22065670
12,10939408,27840083,3536139,324691,9764,5322754,4649155,22790380
13,11675564,28455542,3350691,229802,10171,5164475,4201410,23443687
14,12383869,28886422,3157268,138006,10364,5001532,2315196,24061018
15,13062814,28781071,2967087,53312,10577,4834229,440274,24590929
16,13715446,28071881,2770337,7243,10788,4657060,0,24995304
17,14610449,27769142,2615573,0,11138,4551285,0,26079429
18,15459076,27276885,2456478,0,11311,4437293,0,26971629
19,16259521,26693929,2280893,0,11577,4308709,0,27758180
20,17041659,26076348,2101966,0,12080,4160750,0,28487330
21,17814251,25438788,1920302,0,11995,4009817,0,29122844
22,18566536,24738054,1733783,0,12196,3862538,0,29662441
23,19268682,24005863,1545363,0,12409,3706159,0,30067125
24,19933399,23209536,1357958,0,12705,3541035,0,30363439
25,20831968,22717353,1188481,0,12891,3417664,0,31277086
26,21696449,22135430,1009270,0,13326,3285986,0,32066296
27,22530054,21510791,826159,0,13385,3141103,0,32757453
28,23364995,20868803,641869,0,14074,3001365,0,33405833
29,24177997,20218745,490602,0,13773,2851803,0,33987099
30,24924202,19536496,436621,0,14411,2700285,0,34501299
31,25641818,18864061,397937,0,14547,2565414,0,34873095
32,26354623,18118736,337210,0,14481,2483059,0,35114284
33,27313714,17590706,320856,0,15049,2486057,0,35961489
34,28062458,16888352,323626,0,15157,2492581,0,36501135
35,28623414,16078533,326906,0,15633,2467839,0,36772675
36,28984164,15202148,328139,0,15878,2442620,0,36804233
37,29256070,14300639,327725,0,15984,2403995,0,36717699
38,29461790,13399078,326849,0,16162,2363047,0,36576126
39,29649813,12555769,326025,0,16424,2322087,0,36386978
40,30128678,11831424,323175,0,16355,2306924,0,36398724
41,30870373,11224956,325325,0,16773,2307236,0,36934312
42,31553959,10575969,321423,0,17085,2303504,0,37354045
43,32159189,9923591,310510,0,17709,2296268,0,37650590
44,32697135,9253730,303651,0,17658,2283177,0,37855643
45,32876314,8497307,300228,0,17949,2251382,0,37697048
46,32227686,7589838,297456,0,18212,2166837,0,36604166
47,30697423,6536436,292538,0,18658,2020543,0,34294686
48,30331828,5806318,288081,0,19120,1960920,0,32628905
49,30238374,5174456,282363,0,19408,1913846,0,31123258
50,29662639,4482650,260957,0,19729,1844476,0,29160995
51,28907081,3813064,237418,0,19930,1762919,0,27219438
52,28056441,3186092,223642,0,20602,1677768,0,25490813
53,27640624,2648542,214758,0,20452,1623203,0,24181156
54,27487812,2167086,212274,0,21394,1585871,0,23069638
55,27366965,1743030,209846,0,21869,1549476,0,22033039
56,27126765,1499001,205272,0,22082,1511543,0,20983210
57,26860760,1421566,200275,0,22737,1472323,0,20057821
58,26245847,1364368,195093,0,23159,1416383,0,18949463
59,25081783,1286306,190172,0,23772,1330522,0,17555757
60,23478343,1185477,187733,0,24479,1221352,0,15997748
61,22014407,1095494,183792,0,24640,1127604,0,14613319
62,20817792,1019183,180996,0,25027,951469,0,13445711
63,19613431,945983,178334,0,25692,483932,0,12343541
64,18405350,875565,176769,0,25881,81473,0,11270439
65,17276031,810235,174169,0,26892,0,0,10319845
66,16109377,745413,167709,0,27026,0,0,9398958
67,14913753,679032,161875,0,27778,0,0,8515654
68,13855984,621756,158233,0,27873,0,0,7708775
69,13094288,579550,154847,0,28533,0,0,7084821
70,12597570,521996,152385,0,28385,0,0,6606451
71,12196106,263530,149650,0,29196,0,0,6177065
72,11854537,27978,144977,0,29573,0,0,5765952
73,11543919,0,141190,0,30309,0,0,5432100
74,11193903,0,133169,0,30466,0,0,5081092
75,10812317,0,124575,0,30444,0,0,4726144
76,10438434,0,117841,0,31105,0,0,4399416
77,10163178,7028,114605,0,30978,0,0,4127275
78,9991726,42287,112338,0,31234,0,0,3869919
79,9836191,102391,110721,0,31235,0,0,3627937
80,9646434,164969,106765,0,31048,0,0,3403942
81,9502069,224344,103351,0,31094,0,0,3214048
82,9322420,279699,97481,0,31379,0,0,3008207
83,9073994,328776,91803,0,31402,0,0,2792585
84,8793964,373051,87418,0,31418,0,0,2585536
85,8578211,413724,83634,0,30875,0,0,2407930
86,8399277,452363,81689,0,31212,0,0,2242440
87,8211711,491709,79259,0,31410,0,0,2074892
88,7998589,520042,75778,0,31294,0,0,1910862
89,7791538,548875,72777,0,31081,0,0,1769859
90,7547530,574302,66135,0,30577,0,0,1624265
91,7253262,589081,59466,0,31070,0,0,1478548
92,6959308,601309,56383,0,30748,0,0,1336498
93,6724366,615582,54158,0,30134,0,0,1215429
94,6537388,633173,52734,0,29617,0,0,1108834
95,6317917,648409,49792,0,29720,0,0,1004650
96,6045179,659067,47783,0,29881,0,0,906005
97,5778086,671266,44679,0,29881,0,0,821732
98,5477221,675266,38741,0,29552,0,0,736388
99,5131526,673866,32361,0,29246,0,0,649210
100,4805182,665798,29258,0,29065,0,0,568325
101,4539915,663898,28252,0,28303,0,0,494998
102,4323556,664716,27092,0,28148,0,0,428739
